Tipo de deporte;Deporte;Nombre de la institución o espacio;Calle;Número;Barrio de Pilar;Actividad / Deporte arancelado;Género;Edades / Categorías
Deportes Individuales;Tenis / Padel;Village Golf & Tennis Country Club;Hipolito Yrigoyen ;1754;Manuel Alberti;SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Highland Park Country Club;Los jazmines & las campanillas;;Del Viso;SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Deportes Universal Austral;Mariano Acosta ;1611;Pilar (cabecera);SI;MIXTO;Adultos (de 18 a 60 años)
Deportes Individuales;Tenis / Padel;La Lomada de Pilar;Florida ;9680;Del Viso;SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Pilar del Lago Country Club;Amancio Alcorta;1100;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Los Lagartos Country Club;Acceso Norte Ramal Pilar Km 46;;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Los Troncos Country Club;Parana & posadas;;Del Viso;SI;MIXTO;Todas las edades
Deportes Individuales;Tenis / Padel;Ayres de Pilar;Colectora Este Ramal Pilar & Las Amapolas.;;Manuel Alberti;SI;MIXTO;Todas las edades
Deportes Individuales;Gimnasia Artística;Elite Pilar Gymnastics;Guido;1401;Pilar (cabecera);SI;FEMENINO;Todas las edades
Deportes de Conjunto;Rugby   ;Sociedad Hebraica Argentina;Las Madreselvas;1113;Pilar (cabecera);SI;MASCULINO;Todas las edades
Deportes Individuales;Golf;Pilar Golf/country y golf resort ;Calle Principal ;550;Fátima;SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Club de campo pilar del lago ;Av. Presidente Juan Domingo Perón;2345;Presidente Derqui;SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Pilará country ;Ruta Panamericana, Ramal Pilar;km 56,5 ;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Los Alamos campo de golf ;Saravi ;s/n;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Yarda 51;Panamericana, Acceso Norte – Ramal Pilar;km 51;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Medal country club pilar ;Ruta Provincial 34;km 54,5;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Martindale country club;Av. Presidente Juan Domingo Perón;2375;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Del viso Driving Range;Av. Ing. Eduardo Madero (Ruta Provincial 26);km 41,5;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes de Conjunto;Fútbol;Club Atletico Pilar;ituzaingó;759;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes de Conjunto;Fútbol;Club Social y Deportivo Presidente Derqui;Dorrego  manuel;866;Presidente Derqui;SI;MIXTO;Todas las edades
Deportes de Conjunto;Fútbol;Club Sportivo Pilar ;av. Tomas Marquez;1125;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes de Conjunto;Fútbol;Club Cerro Pilar;Las Truchas;1220;Pilar Sur;SI;MIXTO;Todas las edades
Deportes de Conjunto;Fútbol;"Club Municipal Manuel Alberti ""Ángel Di Maria";Batalla de Arroyo Grande, Domingo Faustino Sarmiento;B1664;Manuel Alberti;NO;MIXTO;Todas las edades
Deportes de Conjunto;Fútbol;Club Municipal Lagomarsino;Honduras;5881;Luis Lagomarsino;NO;MIXTO;Adultos (de 18 a 60 años)
Deportes de Conjunto;Fútbol;Club Municipal Luchetti;Presidente Perón;963;Villa Rosa;NO;MIXTO;Todas las edades
Deportes Individuales;Boxeo;Club Municipal Lagomarsino;Honduras;5881;Luis Lagomarsino;NO;MIXTO;Adultos (de 18 a 60 años)
Deportes Individuales;Boxeo;Club Municipal Luchetti;Presidente Perón;963;Villa Rosa;NO;MIXTO;Todas las edades
Deportes Individuales;Boxeo;Club Municipal Del Viso;Polonia ;5075;Del Viso;NO;MIXTO;Adultos (de 18 a 60 años)
Deportes Individuales;Boxeo;Underdogs Fight Club;Estanislao Lopez;498;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Boxeo;Gimnasio Alberti Boxing Club;av. constitucion ;2260;Manuel Alberti;SI;MIXTO;Todas las edades
Deportes Individuales;Boxeo;Gimnasio de Boxeo -Villa Rosa-;Gral. Ibarra;1366;Villa Rosa;SI;MIXTO;Todas las edades
Deportes Individuales;Boxeo;cedec center;Lorenzo Lopez ;440;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes de Conjunto;Básquetbol;Club Sportivo Pilar ;Av. Tomas Marquez;1125;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes de Conjunto;Básquetbol;Club atlético Pilar ;Ituzaingó;759;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes de Conjunto;Básquetbol;Sociedad Hebraica Argentina – Sede Pilar;Av. Sgto. Cayetano Beliera;1199;La Lonja;SI;MIXTO;Todas las edades
Deportes de Conjunto;Básquetbol;Club Municipal Tribarrial;Dr. R. Naón y Martín Coronado;S/N;Champagnat;NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Básquetbol;Club Presidente Derqui;Manuel Dorrego;866;Presidente Derqui;SI;MIXTO;Todas las edades
Deportes de Conjunto;Básquetbol;Polideportivo Pilar;Pilar Centro;S/N;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes de Conjunto;Básquetbol;Club Municipal Del Viso;Polonia ;6889;Del Viso;NO;MIXTO;Todas las edades
Deportes de Conjunto;Básquetbol;Club Municipal Peruzzotti;Pedro de Mendoza;1853;Pilar Sur;NO;MIXTO;Niños/as (hasta 12 años)
